miRNA	Lung_M3_.	Lung_F2_.	Lung_F3_.	Lung_F1_.	Lung_M1_.	Lung_M2_.
mmu-miR-101c	23	57	34	38	13	14
mmu-miR-3079-5p	5	2	1	7	7	2
mmu-miR-3079-3p	0	0	0	2	1	3
mmu-miR-363-3p	137	26	2	30	101	123
mmu-miR-363-5p	3	0	0	3	3	1
mmu-miR-1247-5p	211	46	30	108	204	298
mmu-miR-1247-3p	8	1	0	3	4	6
mmu-miR-3083-5p	7	2	1	2	4	4
mmu-miR-3083-3p	3	1	0	0	3	1
mmu-miR-208a-5p	21	5	0	0	12	1
mmu-miR-208a-3p	502	142	31	8	213	21
mmu-miR-3963	1171	151	61	402	563	686
mmu-miR-32-5p	304	317	104	314	191	239
mmu-miR-32-3p	35	14	5	16	27	33
mmu-miR-18a-5p	85	65	14	81	50	62
mmu-miR-18a-3p	416	72	37	109	399	287
mmu-miR-3105-5p	4	2	0	0	0	2
mmu-miR-3105-3p	29	20	5	17	26	20
mmu-miR-8111	39	14	3	25	36	43
mmu-miR-6238	2	0	5	7	2	5
mmu-miR-582-5p	275	426	87	430	224	205
mmu-miR-582-3p	565	378	695	193	388	467
mmu-miR-7073-5p	1	1	0	0	0	2
mmu-miR-376b-5p	76	45	17	39	77	81
mmu-miR-376b-3p	7	6	2	9	9	3
mmu-miR-3471	258	166	17	190	100	114
mmu-miR-6911-5p	2	0	0	0	0	1
mmu-miR-6911-3p	5	4	2	6	11	15
mmu-miR-210-5p	11	10	3	7	16	16
mmu-miR-210-3p	309	333	127	193	204	276
mmu-miR-204-3p	1	0	0	0	0	0
mmu-miR-204-5p	218	175	44	181	97	198
mmu-miR-1927	11	1	1	0	11	16
mmu-miR-7668-5p	4	3	3	2	4	9
mmu-miR-7668-3p	5	0	0	0	1	5
mmu-miR-205-3p	11	2	0	1	2	0
mmu-miR-205-5p	518	209	62	102	130	114
mmu-miR-6390	5	5	6	5	4	3
mmu-miR-3473d	30	34	6	21	23	45
mmu-miR-194-2-3p	4	1	1	2	0	3
mmu-miR-877-5p	148	18	9	36	103	85
mmu-miR-877-3p	92	59	21	63	77	65
mmu-miR-7a-1-3p	131	107	30	89	86	132
mmu-miR-6988-3p	88	24	9	25	80	60
mmu-miR-6988-5p	1	0	0	0	0	0
mmu-miR-300-3p	195	171	60	140	131	122
mmu-miR-300-5p	0	0	0	2	0	0
mmu-miR-7072-3p	1	0	0	0	1	0
mmu-miR-7072-5p	0	0	1	0	0	0
mmu-miR-466h-5p	11	3	2	2	5	8
mmu-miR-466h-3p	12	0	1	3	3	5
mmu-miR-1249-5p	1	0	0	0	0	0
