DISTINCT_MIRNA_HAIRPINS_ACCUMULATED_COUNT	Lung_M1_*	Lung_F1_*	Lung_F2_*	Lung_M2_*	Lung_F3_*	Lung_M3_*
648	13918276	10840582	9762881	15188582		6125683
649	13935255	10852424	9811915	15230624		6132207
650	13939429	11236035	9857364	15290782		6150134
651	13974317	11258967	9857364	15290782		6269499
652	13974317	11312213	9957015	15290782		6325718
653	14028109	11314314	10006524	15342953		6357401
654	14073878	11694568	10192915	15448660		6360529
655	14160505	11701055	10224952	15469711		6617568
656	14166190	11892232	10270261	15477552		6741648
657	14207043	12093953	10336199	15796713		6930404
658	14257771	12121796	10336199	16220818		6960932
659	14352609	12161494	10336199	16293108		7079279
660	14368865	12186114	10386890	16460417		7088286
661	14490070	12416225	10428610	16472203		7253669
662	14540399	12998300	10468947	16775344		7270985
663	14575552	12999293	10489249	16842918		7271403
664	14575552	13071156	10506656	17212556		7335988
665	14575552	13075257	10555420	17226266		7427412
666	14687005	13082201	10617064	17301395		7427412
667	14710251	13179994	10697305	17424985		7456778
668	14718506	13317726	10836399	17904650		7508456
669	14969661	13382104	10841424	17916712		7513819
670	15018640	13518830	10855504	17951081		7578318
671	15104624	13568045	10934409	17976145		7677132
672	15113395	13912529	11442884	18018604		7767109
673	15267022	13970044	11622599	18104310		7890737
674	15338693	13998420	11727748	18244992		7936324
675	15374403	14208863	12036403	18372091		8013186
676	15473484	14329269	12129107	18395875		8026916
677	15548952	14919014	12187806	18494786		8103367
678	15611993	15426326	12256653	18578663		8231397
679	15625430	15552676	12256653	18866216		8265314
680	15774470	15825894	12256653	18953412		8357377
681	15839050	16038962	12256653	19179608		8393071
682	15856933	16153581	12256653	19210880		8416231
683	16089176	16238760	12300653	19238702		8431557
684	16150456	16345641	12385189	19327559		8450393
685	16152411	16521891	12431957	19498228		8559823
686	16306604	16604221	12497059	19516347		8682520
687	16337394	16825732	12502526	19521347		8772290
688	16389205	16855254	12506439	19568971		8948233
689	16389205	16935801	12506439	19638724		8971073
690	16389205	17090836	12639416	19797074		8982147
691	16394271	17111825	12705490	19800705		9283396
692	16521568	17258354	12858357	19876737		9289475
693	16521568	17323948	12860268	19984036		9327308
694	16689685	17426119	12860268	19984036		9422271
695	16753813	17454325	13219492	20113286		9452683
696	16781307	17623568	13399663	20333581		9496231
697	17053679	17631439	14031303	20481356		9547041
698	17185012	17818346	14122300	20481356		9585192
699	17192021	17883060	14157665	20551147		9661955
700	17377530	17923498	14367014	20626879		9671238
701	17461322	17970378	14408705	20643341		9812741
702	17541735	18114820	14411879	20771236		9957221
703	17542710	18153436	14504603	20913711		10060266
704	17558169	18751830	14531708	20993605		10084133
705	17584789	19047109	14906563	20998387		10207692
706	17608490	19066940	14906563	21030466		10440213
707	17610337	19288587	14906563	21108658		10603188
708	17656180	19865946	14931061	21125569		10703858
709	17686871	20038890	14969284	21164207		10877116
710	17731023	20124606	15126401	21186264		11081834
711	17739928	20471029	15173681	21208583		11221383
712	17779150	20586952	15185971	21418249		11344329
713	18041343	20635838	15192645	21487028		11402736
714	18259708		15295195	21500070		11470217
715	18363621		15378703	21572862		11803039
716	18370629		15496457	21603892		11854671
717	18479749		15544471	21605247		11860695
718	18506967		15763240	21718884		11867652
719	18651601		15999965	21801410		12075268
720	18737276		16071747	21908660		12275597
721	19141027		16082913	21913816		12385165
722	19146022		16156519	21964580		12469507
723	19161127		16190558	22035749		12789147
724	19227309		16234156	22138724		12921195
725	19254625		16286701	22164014		13043592
726	19296252		16498493	22169945		13242414
727	19331037		16628078	22284779		13320200
728	19508974		16766792	22284779		13503996
729	19743271		16780167	22323145		13547199
730	19743271		16935047	22471979		13855104
731	19920272		17111500	22493720		13932921
732	19934398		17146441	22603576		13966430
733	20121987		17247948	22840322		14553191
734	20185165		17302978	22843462		14664674
735	20293904		17308753	22947455		15149644
736	20538337		17376318	23186604		15566141
737	20678798		17536878	23281942		15674527
738	20734957		17827672	23628498		15821004
739	20789718		17850575	23989378		15904585
740	20880482		17910033	23994841		16055186
741	20959454			24103459		16369645
742	20976095			24123754		16382735
743	21024530			24142372		16528859
744	21080035			24154932		16579430
745	21165591			24191921		16611367
746	21278591			24195098		16709335
747	21352630			24379718		16799711
748	21571069			24534414		16802194
749	21624235			24662194		16816838
750	21832628			25065081		16829227
751	21931365			25093968		17014411
752	22183779			25333424		17276455
753	22312910			25546186		17285781
754	22596333			25622987		17850795
755	22668439			26100912		18308862
756	22818332			26215685		18632956
757	22822779			26406614		19107529
758	22941115			26451635		19127082
759	23004849			26749933		19525534
760	23175149			26827465		19808899
761	23493279			26855393		20605531
762	23630237			27019860		22101650
763	24177969			27362424		22166628
764	24494952			27470206		22603341
765	24782860			27943817		24715149
766	24899713			28201318		27403546
767	24953793					27623514
768	24957992					27905124
769	25310160					28927412
770						29204298
771						30022847
772						30172165
773						30349692
774						31257247
775						32134172
776						33250821
777						33685772
778						33754808
779						33805352
