"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-23b-5p",6.84347669052678,0.222399518925376,0.718491875942028,0.309536581236613,0.756913389712249,0.843938191203229
"mmu-miR-24-1-5p",201.947209790134,0.159042652181038,0.22622202292259,0.70303788343127,0.482032141025759,0.594744452806332
"mmu-miR-24-2-5p",7174.06260775746,1.08160534478781,0.173801951675675,6.2232059787577,4.87097205038324e-10,1.01559767250491e-08
"mmu-miR-24-3p",97911.362474604,0.510552851142204,0.217223709154891,2.35035509304444,0.0187555089115169,0.0469523618400666
"mmu-miR-25-3p",8744.04447521487,-0.471522264437935,0.191289194573459,-2.46497072398337,0.013702444675286,0.0363943912713011
"mmu-miR-25-5p",17.5425933710048,1.02923218090393,0.520092708847771,1.9789398378303,0.0478227802618968,0.0992144247224425
"mmu-miR-26a-2-3p",41.0706451694928,-0.871644943962943,0.369501479924296,-2.35897551517663,0.0183254648359112,0.0468817106538342
"mmu-miR-26a-5p",1223373.28646437,0.985233902341929,0.209359714837117,4.70593830865908,2.52700933883335e-06,2.29610167194785e-05
"mmu-miR-26b-3p",112.253170326657,1.75963956714502,0.282070634787001,6.2382940658597,4.42368485376587e-10,9.70882412642299e-09
"mmu-miR-26b-5p",91485.3830342106,-0.399389588713339,0.19139236238148,-2.08675823707783,0.0369099940116387,0.0814363359939329
"mmu-miR-27a-3p/27b-3p",265693.925053683,0.341306123005251,0.168596318807463,2.0243984294522,0.0429291732325765,0.0914097777349436
"mmu-miR-27a-5p",70.675373715151,0.133677457309121,0.336891750131115,0.396796470252225,0.691517553849031,0.787876557254224
"mmu-miR-27b-5p",152.608515374454,0.0112036956331494,0.276033752719234,0.0405881364970071,0.967624242068043,0.983317402813131
"mmu-miR-28a-3p",476.695090926685,-0.449611960210376,0.323097253196967,-1.39156850069624,0.164053102952086,0.263115938196231
"mmu-miR-28a-5p/28c",812.269848406356,0.410458744076028,0.194788142547327,2.1072060070407,0.0350997264664448,0.0789259356555979
"mmu-miR-296-5p",10.361154483334,-0.641721507016376,0.615091415783618,-1.04329452590203,0.296811905615117,0.411197889174431
"mmu-miR-298-5p",31.4045328276615,1.25667178267695,0.401881371915,3.12697196361405,0.00176616769131053,0.00651762767501319
"mmu-miR-299a-3p/299b-3p",11.1371211741915,-1.35415433476677,0.669031350679355,-2.0240521365579,0.0429647876164243,0.0914097777349436
"mmu-miR-299a-5p/299b-5p",7.97075493264926,-2.1887906188897,0.761806337316875,-2.87315884847946,0.00406389724928964,0.0135571612236302
"mmu-miR-29a-3p",23126.4672073664,0.422470644554483,0.261630894662516,1.61475824596112,0.106363058498443,0.190357920145282
"mmu-miR-29a-5p",89.4000799967003,-1.19374718059876,0.27681083569315,-4.31250163169931,1.61417690806804e-05,0.000112185295110729
"mmu-miR-29b-2-5p",27.4726909103129,-0.874588209366582,0.396931777177557,-2.20337161107502,0.0275685674146809,0.0649496757735702
"mmu-miR-29b-3p",2171.36897003441,-0.033897370049205,0.289866526856922,-0.116941305423433,0.906906565694291,0.95500009569323
"mmu-miR-29c-3p",3264.19026933764,0.0509723236916752,0.256922751207967,0.198395523370429,0.842735619667881,0.917547659011766
"mmu-miR-29c-5p",134.594317565853,-0.942509941666057,0.248165566168589,-3.79790780895755,0.000145922573463204,0.000760621414176951
"mmu-miR-300-3p",132.449880212601,-0.480751877414846,0.255019127430514,-1.88516007508432,0.0594082292841552,0.119409713517225
"mmu-miR-301a-3p",2950.45804229301,-1.31518352528869,0.246995924390834,-5.32471751723161,1.01110044378441e-07,1.27766328805485e-06
